term_key,zh-Hans,zh-Hant,en,es,ja,ko,review_status
unverified,尚未核实,尚未核實,Unverified,No verificado,未確認,미확인,machine_draft
corroborated_multi_source,多来源支持,多來源支持,Corroborated by multiple sources,Corroborado por múltiples fuentes,複数の情報源による裏付けあり,다수 출처로 뒷받침됨,machine_draft
officially_documented,官方记录,官方記錄,Officially documented,Documentado oficialmente,公式記録あり,공식 기록됨,machine_draft
disputed,存在争议,存在爭議,Disputed,En disputa,争いあり,논란 있음,machine_draft
misattributed,错误归属,錯誤歸屬,Misattributed,Atribución errónea,誤帰属,잘못된 귀속,machine_draft
individuals_involved,涉事人员,涉事人員,Individuals involved,Personas involucradas,関与した人物,관련 인물,machine_draft
alleged_actor,被指称行为人,被指稱行為人,Alleged actor,Presunto responsable,被疑行為者,피의 행위자,machine_draft
minor,未成年人,未成年人,Minor,Menor de edad,未成年者,미성년자,machine_draft
guardianship_responsibility,监护责任,監護責任,Guardianship responsibility,Responsabilidad de tutela,監護責任,보호자 책임,machine_draft
automated_system_notice,本页面由自动化系统生成,本頁面由自動化系統生成,This page was generated by an automated system,Esta página fue generada por un sistema automatizado,このページは自動化システムによって生成されました,이 페이지는 자동화 시스템에 의해 생성되었습니다,machine_draft
evidence_sufficiency_score,证据充分度分数,證據充分度分數,Evidence sufficiency score,Puntuación de suficiencia de evidencia,証拠充足度スコア,증거 충분도 점수,machine_draft
independent_source,独立来源,獨立來源,Independent source,Fuente independiente,独立した情報源,독립 출처,machine_draft
institutional_response,机构回应,機構回應,Institutional response,Respuesta institucional,機関の対応,기관의 대응,machine_draft
not_legal_finding,不构成司法认定,不構成司法認定,Does not constitute a legal finding,No constituye una determinación legal,司法上の認定を構成するものではない,사법적 판단을 구성하지 않음,machine_draft
